umls_code,mesh_code
C0024299,D008223
C0024301,D008224
C0024302,D008228
C0024304,D008228
C0024305,D008228
C0024306,D008228
C0024312,D008231
C0024314,D008232
C0024408,D017827
C0024419,D008258
C0024433,D008265
C0024439,D003317
C0024440,D008269
C0024454,D004687
C0024473,D008275
C0024507,D012779
C0024523,D008286
C0024530,D008288
C0024535,D016778
C0024586,D008303
C0024591,D008305
C0024623,D013274
C0024667,D015674
C0024668,D008325
C0024689,D008336
C0024694,D008339
C0024713,D001714
C0024748,D008363
C0024776,D008375
C0024790,D006457
C0024796,D008382
C0024799,D010437
C0024809,D002189
C0024814,D013132
C0024894,D008413
C0024899,D008415
C0024950,D008439
C0024954,D008441
C0025007,D008457
C0025063,D008479
C0025149,D008527
C0025160,D008531
C0025164,D004931
C0025193,D003866
C0025202,D008545
C0025205,D008546
C0025209,D008548
C0025218,D008548
C0025221,D007645
C0025229,D008554
C0025237,D010009
C0025239,D008557
C0025261,D008569
C0025267,D018761
C0025268,D018813
C0025269,D018814
C0025281,D008575
C0025286,D008579
C0025287,D008580
C0025289,D008581
C0025290,D008582
C0025294,D008585
C0025303,D008589
C0025309,D008590
C0025312,D008591
C0025322,D008594
C0025363,D008607
C0025427,D008630
C0025472,D008641
C0025500,D008654
C0025517,D008659
C0025521,D008661
C0025568,D008679
C0025637,D008708
C0025945,D003925
C0025958,D008831
C0025990,D008844
C0026010,D008850
C0026141,D006934
C0026205,D015877
C0026266,D008944
C0026267,D008945
C0026363,D009958
C0026552,D009021
C0026613,D019957
C0026633,D009056
C0026636,D009059
C0026640,D009062
C0026650,D009069
C0026654,D009072
C0026691,D009080
C0026697,D009081
C0026705,D016532
C0026706,D009084
C0026707,D009085
C0026708,D008059
C0026709,D009087
C0026760,D010009
C0026764,D009101
C0026766,D009102
C0026769,D009103
C0026825,D009123
C0026826,D009122
C0026827,D009123
C0026837,D009127
C0026838,D009128
C0026846,D009133
C0026847,D009134
C0026848,D009135
C0026850,D009136
C0026851,D009137
C0026858,D059352
C0026896,D009157
C0026918,D009164
C0026919,D009165
C0026936,D009175
C0026948,D009182
C0026998,D015470
C0027022,D009196
C0027051,D009203
C0027055,D015428
C0027059,D009205
C0027066,D009207
C0027080,D009212
C0027092,D009216
C0027121,D009220
C0027122,D009221
